"","penguin_id","species","island","sex","bill_length_mm","bill_depth_mm","flipper_length_mm","body_mass_g","observation_quality","batch"
"1",1,"Adelie","Torgersen","male",39.1,18.7,181,3750,"high","batch_A"
"2",2,"Adelie","Torgersen","female",39.5,17.4,186,3800,"high","batch_A"
"3",3,"Adelie","Torgersen","female",40.3,18,195,3250,"high","batch_A"
"4",4,"Adelie","Torgersen","female",36.7,19.3,193,3450,"high","batch_A"
"5",5,"Adelie","Torgersen","male",39.3,20.6,190,3650,"high","batch_A"
"6",6,"Adelie","Torgersen","female",38.9,17.8,181,3625,"high","batch_A"
"7",7,"Adelie","Torgersen","male",39.2,19.6,195,4675,"medium","batch_A"
"8",8,"Adelie","Torgersen","female",41.1,17.6,182,3200,"high","batch_A"
"9",9,"Adelie","Torgersen","male",38.6,21.2,191,3800,"high","batch_A"
"10",10,"Adelie","Torgersen","male",34.6,21.1,198,4400,"low","batch_A"
"11",11,"Adelie","Torgersen","FEMALE",36.6,17.8,185,3700,"high","batch_A"
"12",12,"Adelie","Torgersen","female",38.7,19,195,3450,"high","batch_A"
"13",13,"Adelie","torgersen","male",42.5,20.7,197,4500,"high","batch_A"
"14",14,"Adelie","Torgersen","female",NA,18.4,184,3325,"medium","batch_A"
"15",15,"Adelie","Torgersen","male",46,21.5,194,4200,"high","batch_A"
"16",16,"Adelie","Biscoe","female",37.8,18.3,174,3400,"high","batch_A"
"17",17,"ADELIE","Biscoe","male",37.7,18.7,180,3600,"high","batch_A"
"18",18,"Adelie","Biscoe","female",35.9,19.2,189,NA,"high","batch_A"
"19",19,"Adelie ","Biscoe","male",38.2,18.1,185,3950,"high","batch_A"
"20",20,"Adelie","Biscoe","male",38.8,17.2,180,3800,"low","batch_A"
"21",21,"Adelie","Biscoe","female",35.3,18.9,187,3800,"medium","batch_A"
"22",22,"Adelie","Biscoe","MALE",40.6,18.6,NA,3550,"high","batch_A"
"23",23,"Adelie"," Biscoe","female",40.5,17.9,187,3200,"high","batch_A"
"24",24,"Adelie","Biscoe","female",37.9,18.6,172,3150,"high","batch_A"
"25",25,"Adelie","Biscoe","male",40.5,18.9,180,3950,"high","batch_A"
"26",26,"Adelie","dream","female",39.5,16.7,178,3250,"high","batch_A"
"27",27,"Adelie","Dream","male",37.2,18.1,178,3900,"high","batch_A"
"28",28,"Adelie","Dream","female",NA,17.8,188,3300,"medium","batch_A"
"29",29,"Adelie","Dream",NA,40.9,18.9,184,3900,"high","batch_A"
"30",30,"Adelie","Dream","female",36.4,17,195,3325,"low","batch_A"
"31",31,"Adelie","Dream","male",39.2,21.1,196,4150,"high","batch_A"
"32",32,"Adelie","Dream","male",38.8,20,190,3950,"high","batch_A"
"33",33,"Adelie","Dream","FEMALE",42.2,18.5,180,3550,"high","batch_A"
"34",34,"ADELIE","Dream","female",37.6,19.3,181,3300,"high","batch_A"
"35",35,"Adelie","Dream","male",39.8,19.1,184,4650,"medium","batch_A"
"36",36,"Adelie","Dream","female",36.5,18,182,NA,"high","batch_A"
"37",37,"Adelie","Dream","male",40.8,18.4,195,3900,"high","batch_A"
"38",38,"Adelie ","Dream","female",36,18.5,186,3100,"high","batch_A"
"39",39,"Adelie","dream","male",44.1,19.7,196,4400,"high","batch_A"
"40",40,"Adelie","Dream","female",37,16.9,185,3000,"low","batch_A"
"41",41,"Adelie","Dream","male",39.6,18.8,190,4600,"high","batch_A"
"42",42,"Adelie","Dream","male",NA,19,182,3425,"medium","batch_A"
"43",43,"Adelie","Dream","female",36,17.9,190,3450,"high","batch_A"
"44",44,"Adelie","Dream","MALE",42.3,21.2,NA,4150,"high","batch_A"
"45",45,"Adelie","Biscoe","female",39.6,17.7,186,3500,"high","batch_A"
"46",46,"Adelie"," Biscoe","male",40.1,18.9,188,4300,"high","batch_A"
"47",47,"Adelie","Biscoe","female",35,17.9,190,3450,"high","batch_A"
"48",48,"Adelie","Biscoe","male",42,19.5,200,4050,"high","batch_A"
"49",49,"Adelie","Biscoe","female",34.5,18.1,187,2900,"medium","batch_A"
"50",50,"Adelie","Biscoe","male",41.4,18.6,191,3700,"low","batch_A"
"51",51,"ADELIE","Biscoe","female",39,17.5,186,3550,"high","batch_A"
"52",52,"Adelie","biscoe","male",40.6,18.8,193,3800,"high","batch_A"
"53",53,"Adelie","Biscoe","female",36.5,16.6,181,2850,"high","batch_A"
"54",54,"Adelie","Biscoe","male",37.6,19.1,194,NA,"high","batch_A"
"55",55,"Adelie","Biscoe","FEMALE",35.7,16.9,185,3150,"high","batch_A"
"56",56,"Adelie","Biscoe","male",NA,21.1,195,4400,"medium","batch_A"
"57",57,"Adelie ","Biscoe","female",37.6,17,185,3600,"high","batch_A"
"58",58,"Adelie","Biscoe",NA,41.1,18.2,192,4050,"high","batch_A"
"59",59,"Adelie","Biscoe","female",36.4,17.1,184,2850,"high","batch_A"
"60",60,"Adelie","Biscoe","male",41.6,18,192,3950,"low","batch_A"
"61",61,"Adelie","Biscoe","female",35.5,16.2,195,3350,"high","batch_A"
"62",62,"Adelie","Biscoe","male",41.1,19.1,188,4100,"high","batch_A"
"63",63,"Adelie","Torgersen","female",35.9,16.6,190,3050,"medium","batch_A"
"64",64,"Adelie","Torgersen","male",41.8,19.4,198,4450,"high","batch_A"
"65",65,"Adelie","torgersen","female",33.5,19,190,3600,"high","batch_A"
"66",66,"Adelie","Torgersen","MALE",39.7,18.4,NA,3900,"high","batch_A"
"67",67,"Adelie","Torgersen","female",39.6,17.2,196,3550,"high","batch_A"
"68",68,"ADELIE","Torgersen","male",45.8,18.9,197,4150,"high","batch_A"
"69",69,"Adelie"," Torgersen","female",35.5,17.5,190,3700,"high","batch_A"
"70",70,"Adelie","Torgersen","male",NA,18.5,195,4250,"low","batch_A"
"71",71,"Adelie","Torgersen","female",40.9,16.8,191,3700,"high","batch_A"
"72",72,"Adelie","Torgersen","male",37.2,19.4,184,NA,"high","batch_A"
"73",73,"Adelie","Torgersen","female",36.2,16.1,187,3550,"high","batch_A"
"74",74,"Adelie","Torgersen","male",42.1,19.1,195,4000,"high","batch_A"
"75",75,"Adelie","Torgersen","female",34.6,17.2,189,3200,"high","batch_A"
"76",76,"Adelie ","Torgersen","male",42.9,17.6,196,4700,"high","batch_A"
"77",77,"Adelie","Torgersen","FEMALE",36.7,18.8,187,3800,"medium","batch_A"
"78",78,"Adelie","torgersen","male",35.1,19.4,193,4200,"high","batch_A"
"79",79,"Adelie","Dream","female",37.3,17.8,191,3350,"high","batch_A"
"80",80,"Adelie","Dream","male",41.3,20.3,194,3550,"low","batch_A"
"81",81,"Adelie","Dream","male",36.3,19.5,190,3800,"high","batch_A"
"82",82,"Adelie","Dream","female",36.9,18.6,189,3500,"high","batch_A"
"83",83,"Adelie","Dream","male",38.3,19.2,189,3950,"high","batch_A"
"84",84,"Adelie","Dream","female",NA,18.8,190,3600,"medium","batch_A"
"85",85,"ADELIE","Dream","female",35.7,18,202,3550,"high","batch_A"
"86",86,"Adelie","Dream","male",41.1,18.1,205,4300,"high","batch_A"
"87",87,"Adelie","Dream",NA,34,17.1,185,3400,"high","batch_A"
"88",88,"Adelie","Dream","MALE",39.6,18.1,NA,4450,"high","batch_A"
"89",89,"Adelie","Dream","female",36.2,17.3,187,3300,"high","batch_A"
"90",90,"Adelie","Dream","male",40.8,18.9,208,NA,"low","batch_A"
"91",91,"Adelie","dream","female",38.1,18.6,190,3700,"medium","batch_A"
"92",92,"Adelie"," Dream","male",40.3,18.5,196,4350,"high","batch_A"
"93",93,"Adelie","Dream","female",33.1,16.1,178,2900,"high","batch_A"
"94",94,"Adelie","Dream","male",43.2,18.5,192,4100,"high","batch_A"
"95",95,"Adelie ","Biscoe","female",35,17.9,192,3725,"high","batch_A"
